ID,Filename,Text
0,0.ogg,Robot startup sound.
1,1.ogg,Waiting for the network setup.
2,2.ogg,Unable to connect to the wifi network. Please check the wifi password and try again.
3,3.ogg,Unable to connect to the wifi network. Please check your local network and try again.
4,4.ogg,The robot has left the network setup mode.
5,5.ogg,Network connected successfully. 
6,6.ogg,Unable to connect to network. Please try again.
7,7.ogg,The robot is starting the cleanup. 
8,8.ogg,The robot is starting the partial cleanup.
9,9.ogg,The robot is starting the scheduled cleanup.
10,10.ogg,The robot is resuming the cleanup.
11,11.ogg,Cleanup paused.
12,12.ogg,Cleanup completed.
13,13.ogg,Returning to the dock to charge.
14,14.ogg,Low battery. The robot will return to the dock to charge. Once the battery is fully charged the robot will continue the cleanup.
17,17.ogg,Please move the robot to the dock to charge.
18,18.ogg,Charging.
19,19.ogg,Please remove the robot from the charging dock and turn it off.
20,20.ogg,Low battery.
21,21.ogg,"Low battery, and the robot will turn off."
22,22.ogg,Please move the robot to an rea that needs to be cleaned.
23,23.ogg,The water compartment has been installed.
24,24.ogg,Please check whether the water compartment is properly installed.
25,25.ogg,Low battery. The robot is unable to carry out the scheduled cleanup.
26,26.ogg,Restoring to factory settings.
27,27.ogg,The robot is updating. It will take about 5 minutes. Do not turn it off or start a cleaning task.
28,28.ogg,Updated successfully.
29,29.ogg,"Could not update. Please try again."
30,30.ogg,Positioning. Please wait.
31,31.ogg,Positioning failed and the map is not working. The robot will start a new cleanup.
33,33.ogg,Please wipe the camera clean.
34,34.ogg,Please install the dustbin.
35,35.ogg,Please check and clean the main brush.
36,36.ogg,Please check and clean the side brush.
37,37.ogg,Please check and clean the right wheel.
38,38.ogg,Please check and clean the left wheel.
39,39.ogg,Please wipe the obstacle sensor clean.
40,40.ogg,"The robot is stuck. Please reposition it to start cleaning."
41,41.ogg,"The robots wheels are suspended. Move to a new location and restart."
42,42.ogg,"Please check and clean the filter."
43,43.ogg,"Please check and tap the bumper, to see if it rebounds."
44,44.ogg,There is an issue. Please check the user manual or contact after sales service.
45,45.ogg,The robot is here!
46,46.ogg,The robot and the phone are connected. Please return to the Xiaomi home app and wait for the network connection to complete.
47,47.ogg,Begin charging.
48,48.ogg,Low battery. The robot is returning to the dock to charge.
49,49.ogg,High-intensity magnetic field detected. Please move robot away and restart.
50,50.ogg,Charging error. Please clean charging contacts.
51,51.ogg,"Battery is overheating or overcooling. Please wait until the battery temperature returns to normal, then continue to use."
52,52.ogg,Robot tilted. Please put it on a level ground to restart.
53,53.ogg,Virtual no go zone detected. Please move robot away and restart.
54,54.ogg,Positioning suceeded. Resuming cleaning.
55,55.ogg,Positioning suceeded. Resuming returning to the dock.
56,56.ogg,Start selected room cleaning.
57,57.ogg,Start zoned cleaning.
58,58.ogg,Proceed with cleaning task.
59,59.ogg,Mopping completed. Please remove water tank timely.
60,60.ogg,Optical flow sensor error. Please wipe the optical flow sensor clean and restart.
61,61.ogg,Start mopping.
62,62.ogg,Start remote control cleaning.
63,63.ogg,Water tank has been removed.
64,64.ogg,Positioning failed. Map is invalid. Robot will return to dock.
65,65.ogg,Resume returning to the dock.
66,66.ogg,Filter worn out. Please replace it timely. 
67,67.ogg,Side brush worn out. Please replace it timely. 
68,68.ogg,Main brush worn out. Please replace it timely.
69,69.ogg,Cleanup path blocked. Please move robot to new position to restart.
70,70.ogg,Please remove and clean mop pad.
72,72.ogg,Please check whether laser sensor distance cover is jammed.
73,73.ogg,Edge sensor error. Please check and clean it.
75,75.ogg,"Filter may not be dry, or may be blocked."
77,77.ogg,Please start robot in non-carpet area.
78,78.ogg,Please clean 3D obstacle avoidance sensor.
79,79.ogg,3D obstacle avoidance sensor error.  Please restart robot or contact customer service.
81,81.ogg,Ultrasonic sensor error. Please restart robot or contact customer service.
82,82.ogg,Start mapping.
83,83.ogg,Proceed with mapping.
84,84.ogg,Mapping completed.
85,85.ogg,Positioning succeeded. Proceeding with mapping.
86,86.ogg,Positioning failed. Restarting mapping.
87,87.ogg,Low battery. Returning to the dock.
88,88.ogg,Enter remote control mode.
89,89.ogg,Resume recharging.
90,90.ogg,Proceed with cleaning task.
91,91.ogg,The clean water tank is not installed. Please install it before the robot carries on working.
92,92.ogg,The dirty water tank is not installed. Please install before the robot carries on working.
93,93.ogg,There is not enough water in the clean water tank. Add water to the tank before the robot carries on working.
94,94.ogg,The dirty water tank is full. Pour off the dirty water before the robot carries on working.
95,95.ogg,The mop pad washboard is not installed. The robot cannot return to the charging dock.
96,96.ogg,The mop pad washboard is overflowing. Please check whether the water outlet of the pad is blocked.
97,97.ogg,The dust collection bag is not installed. Please install it before the root carries on working.
98,98.ogg,The dust collection bag is full. Please empty it.
99,99.ogg,The upper cover of charging and dust collection compartment is not closed. Please close the upper cover before the robot carries on working.
100,100.ogg,The air duct of the charging and dust collection compartment is blocked. Please check.
116,116.ogg,Child lock on. Buttons locked.
117,117.ogg,Child lock off. Buttons unlocked.
118,118.ogg,Buttons locked. Press and hold the dock button to unlock.
119,119.ogg,Buttons locked. 
120,120.ogg,Buttons unlocked.
121,121.ogg,The robot and the phone are connected. Please return to the Phantek app and wait for the connection to complete.
122,122.ogg,Continuous positioning. Please wait.
149,149.ogg,Unable to reach the specified area. Please try to clear obstacles in the path.
150,150.ogg,Unable to reach the specified area. Please try to delete no-go zones in the path.
151,151.ogg,The path is blocked. Please try to clear obstacles around your robot.
152,152.ogg,The path is blocked. Please try to delete no-go zones or move your robot out of this area.
153,153.ogg,Your robot is detected in the no-go zone. Please move your robot out of this area.
200,200.ogg,Robot shutdown sound.
